file_name,title,etitle,jabstract,eabstract,section_names,sec_intro,sec_method,sec_result,sec_conclusion,abs_intro,abs_method,abs_result,abs_conclusion
V02N02-03.tex,,Integration of Morphological and Syntactic Analysis based on LR Parsing Algorithm,,"Morphological analysis of Japanese is very different from that of
English, because no spaces are placed between words. This is also the
case in many Asian languages such as Korean, Chinese, Thai and so
forth. In the Indo-European family, some languages such as German have
the same phenomena in forming complex noun phrases. Processing such
languages requires the identification of the word boundaries in the
first place. This process is often called {\em segmentation\/","['Introduction', 'Morphological analysis of Japanese', 'Generating LR table', 'Algorithm', 'A worked example', 'Conclusion']",,,,,,,,
V02N02-04.tex,,A New Direction for Sublanguage N.L.P.,,"There have been a number of theoretical studies devoted to the notion of
sublanguage.
Furthermore, there are some successful natural language
processing systems which have explicitly or implicitly utilized
sublanguage restrictions. 
However, two big problems are still unsolved to utilize the sublanguage
notion:
1) automatic definition and dynamic identification of a text to sublanguage, and
2) automatic linguistic knowledge acquisition for sublanguage.
There are now new opportunities to address these problems
owing to the appearance of large machine-readable corpora.
Although there have been several experiments to try to solve
the second problem listed above,
the first problem has not received so much attention.
In the previous sublanguage N.L.P. systems, 
the domain the system is dealing with was defined by a human.
This is actually one method to define the sublanguage of a text,
and, in a sense, it seems to work well.
However, it is not always possible and sometimes it may be wrong.
In order to maximize the benefit of the sublanguage notion,
we need automatic definition and dynamic sublanguage identification.
We will report preliminary experiments on sublanguage definition and
identification based on lexical appearance.
The results of the experiments show that
the methods proposed can be useful in processing a new text.
In particular, the fact that the first two sentences can reliably identify
a text's sublanguage encourages us in further investigation of this line of research.
In conclusion, it appears that the inductive definition of sublanguage
and sublanguage identification would be beneficial for natural language processing.","['Introduction', 'Two Definitions of Sublanguage', 'Benefit from Large Corpora', 'Sublanguage Definition', 'Sublanguage Identification for a New Text', 'Experiment with First Two Sentences', 'Discussion', 'Conclusion', 'Acknowledgments']",,,,,,,,
V02N03-01.tex,言語過程説に基づく日本語品詞の体系化とその効用,A Japanese Syntactic Category System Based on the Constructive Process Theory and its Use,"三浦文法は、時枝誠記により提唱され三浦つとむにより発展的に継承された
言語過程説に基づく日本語文法である。言語過程説によれば、言語は対象−認
識−表現の過程的構造をもち、対象のあり方が話者の認識を通して表現されて
いる。本論文では、三浦文法に基づいて体系化した日本語品詞体系および形態
素処理用の文法記述形式を提案し、日本語の形態素処理や構文解析におけるそ
の有効性を論じた。日本語の単語を、対象の種類とその捉え方に着目し、約４
００通りの階層化された品詞に分類して、きめ細かい品詞体系を作成した。本
論文で提案した品詞体系と形態素処理用文法記述形式に基づき、実際に形態素
処理用の日本語文法を構築した結果によれば、本文法記述形式により例外的な
規則も含めて文法を簡潔に記述できるだけでなく、拡張性の点でも優れている
ことが分かった。本品詞体系により、三浦の入れ子構造に基づく意味と整合性
の良い日本語構文解析が実現できるものと期待される。","Miura grammar is a Japanese grammar based on the
Constructive Process Theory\\proposed \hspace*{0.7mm","['まえがき', '三浦文法の言語観', '日本語の品詞体系', '形態素処理用の文法記述形式', '本品詞体系の効用', 'むすび']",,,,,,,,
V02N03-02.tex,,Example-Based Machine Translation using Associative Processors,,"This paper proposes an Example-Based Approach (EBA) 
using Associative Processors (APs) for machine translation, 
especially speech-to-speech translation, that  requires (1) high accuracy and 
(2) a quick response.
EBAs translate by mimicking the  best-match 
translation examples (hereafter, ``examples''), which are derived from corpora.
These approaches are known to perform structural disambiguation, target word
selection, and whole translation accurately.
Therefore, EBAs fulfill the first requirement.
The second requirement is also fulfilled by an EBA using APs as follows.
The central mechanism of EBAs, Example-Retrieval (ER), retrieves 
the examples most similar to the input expression from an example database. ER
becomes the dominant component
as the size of the example database increases.
We have parallelized
ER by using APs  consisting
of an Associative Memory and a 
Transputer.
Experimental results show that  ER can be
drastically accelerated by our method.
Moreover, a study of communication among APs and 
an extrapolation from  the sustained performance of 10 APs
demonstrate the scalability of our method against the  size of 
the example database.
Consequently, the EBA using APs meets the critical requirements of 
machine translation.","['Introduction', 'Example-Based Approach', 'Analysis of Computational Cost', 'Acceleration Using Associative Processors', 'Scalability toward Large-Scale System using \nAssociative Processors', 'Related Research', 'Concluding Remarks']",,,,,,,,
V02N03-03.tex,動詞訳語選択のための「格フレーム木」の統計的な学習,Statistical Learning of ``Case Frame Tree'' for Translating English Verbs,"機械翻訳システムでは動詞の訳語を選択するために格フレームがよく利用さ
  れる．格フレームは従来主として人手で記述されていたが，一貫性を保って
  記述するのが難しいこと，格フレームを部分的に変更した場合に起こる影響
  が把握しにくいことなどの重大な問題があった．そこでこれらの問題を解決
  するため，本論文では格フレームを決定木の形で表し(これを格フレーム木
  と呼ぶ)，これを英日の対訳コーパスから統計的な帰納学習プログラムを利
  用して学習することを提案する．
  本論文ではまず，この提案によって上記の問題が軽減される根拠を述べた後，
  本論文で作成した英日対訳コーパスについて述べる．続いて7つの英語動詞
  について格フレーム木の獲得実験を2つ報告する．
  最初の実験は，格要素の制約として英語の単語を使う格フレーム木を学習し
  たものである．これにより得られた格フレーム木を観察したところ，人間の
  直観に近く，かつ直観を越えた非常に精密な訳し分けの情報が得られたこと
  が明らかになった．
  次に，この格フレームの一般性を高めるために，英語の単語の代わりに意味
  分類コードを制約として利用する手法を提案し，これに基づいて格フレーム
  木を学習する実験を行った．得られた格フレーム木で未学習のデータの動詞
  の訳語を決定する評価を行ったところ，2.4\%ないし32.2\%の誤訳率が達成
  された．この誤訳率と，先の英語単語を利用した格フレーム木での誤訳率と
  の差は13.6\%ないし55.3\%となり，意味分類コードが有効に機能したことが
  示された．","Our English to Japanese machine translation system uses
  surface verbal case frames (case frames) to select a Japanese
  translation for an English verb.  The need to acquire and accumulate
  case frames leads directly to two problems:
\begin{itemize","['はじめに', '人手による格フレーム獲得の問題点', '対訳コーパスからの格フレーム木の学習', '英日対訳コーパス', '語形を利用した実験', '意味コードを用いた実験', 'むすび', '決定木作成アルゴリズム', 'コーパスに付与したラベルの詳細', '実験で学習された格要素']",,,,,,,,
V02N03-04.tex,片方向の共起性による述語型定型表現の自動抽出,Automatic Acquisition of Predicative Frozen Patterns on One Directional Association,"本論文では「目を盗む」や「かたずを飲む」などの述語型定型表現を
コーパスから自動抽出することを目的に，
従来の相互情報量の条件を緩める方向で，
名詞動詞間の共起性を測る新たな基準を提案する．
概略，名詞，動詞のどちらかを固定して，
その単語と共起する集合内の各単語に，どの程度特異な頻度になっているかの
数値を与える．この数値は集合内のその単語の頻度の割合と，
集合内の単語の種類数から計算される．
この数値の上位のものを取り出すことで定型表現の抽出を行う．
本手法の特徴は，名詞を固定した場合に抽出できる表現と，動詞を固定した場合に
抽出できる表現はほとんど共通のものがなく，しかもどちらの場合も
相互情報量による抽出程度の正解率を得られることである．
このため，目的の抽出数の半数づつを
名詞固定と動詞固定の各々の場合から取り出せば，
相互情報量を用いて抽出する場合よりも高い正解率が得られる．","This paper presents an alternative method to measure word
association strength on predicative patterns in order to
automatically extract predicative frozen patterns and idioms from a
corpus.  For this aim, mutual information is traditionally used.  We
improve the method on mutual information from a view of linguistics.
The proposed method are realized by following steps.  First, a verb
(or noun) is fixed.  Next, the set of nouns (or verbs) which
associates the verb (or noun) is built up.  Last, nouns (or verbs)
which have peculiar frequency are chosen from this set.  The
peculiarity is confirmed from two characteristics, which are ratio
of the word frequency for total frequency of the set, and the number
of kind of word in the set.  Predicative frozen patterns are
constructed from chosen words and the fixed word.  The advantage of
this method is that patterns extracted by fixing a verb and patterns
extracted by fixing a noun have few common patterns, and each
extraction has equivalent ratio of correctness to extraction by
mutual information.  Therefore, extracting same number patterns,
this method can get more correct patterns than mutual information.","['はじめに', '相互情報量からの共起性測定法の問題点', '片方向の強さのみによる共起性の測定', '実験', '考察', 'おわりに']",,,,,,,,
V02N04-01.tex,日本語マニュアル文における条件表現\protect 「と」「れば」「たら」「なら」から導かれる制約,Pragmatic Constraints of Japanese Conditionals \protect\\ for {\sf TO,"本稿では、日本語マニュアル文の理解を行なう際に必要となるゼロ代名詞の照
応問題を解決する一つの手がかりとして，マニュアル文の操作手順においてしば
しば現れる条件表現の語用論的性質を利用することを提案する．条件表現の前件
と後件を動作主の種類と述語の性質により分類するという方法により，実際の例
文を調べた結果，後件に関して，1)「と」と「れば」，「たら」と「なら」がそ
れぞれ同じ分布を示すこと，2)「と」「れば」と「たら」「なら」は相補的な分
布になっていること，が分かった．この性質より，動作主に関するゼロ代名詞の
照応に利用できる制約ならびにデフォールト規則が得られた．","This paper proposes a method of the zero anaphora
resolution, which is one of the essential processes in Japanese manual
sentences understanding system which uses pragmatic properties of
Japanese conditionals.  We examined a number of sentences in Japanese
manuals according to the classification based on the types of agents and
the types of verb phrase.  As a result, we obtained the following
pattern of usage in main clauses: 1) The connective particles {\sf TO","['背景と目的', 'マニュアル文における基本的制約', '条件表現の{\\dg 主', 'おわりに']",,,,,,,,
V02N04-02.tex,日本語マニュアル文におけるテイル，テアル，テオク，\\テミル，テシマウの語用論,Pragmatic Analysis of Aspect Morphemes \\in Manual Sentences in Japanese,"本論文では，テイル，テアル，テシマウ，テオク，テミルといったアスペクト辞の
マニュアル文における意味を検討する．これらのアスペクト辞は，時間的なアス
ペクトを表す他に，書き手の態度などのいわゆるモダリティをも表現することが
あるので，モダリティについての解釈から，アスペクト辞の隣接する動詞句の主語
に関する制約を明らかにする．さらに，実際にマニュアル文から例文を集め，提
案する制約の正当性を検証する．このような制約は，省略された主語などの推定
に役立ち，マニュアル文からの知識抽出や機械翻訳に応用できる．","In this paper, we analyze the pragmatic aspects of Japanese verbal
suffixes {\it teiru","['はじめに', 'マニュアル文に登場する人物と事物', 'アスペクト辞の意味と，動詞との隣接について', 'マニュアル文における{\\dg 主', 'テシマウの被害性に関する考察', 'おわりに']",,,,,,,,
V02N04-03.tex,日本語形態素解析システムのための形態素文法,A Morpheme Grammar\\for Japanese Morphological Analyzers,"本稿では，動詞の語尾変化について体系的な扱いが可能な派生文法に基づいて，
日本語形態素解析システムのための形態素文法を記述した。但し，派生文法に
おける音韻単位での扱いを日本語の文字単位の扱いに変更する方法を示し，よ
り形態素解析処理に適した形で記述した．さらに，これを実働する形態素解
析システムに適用し，EDRコーパスと比較することによって精度を測定した．","This paper shows a morpheme grammar for Japanese morphological
analyzers. The grammar bases on Derivational Grammar in which the
inflection of Japanese verbs can be managed systematically.  Though
Derivational Grammar uses phonological description, this paper shows a
method to process Japanese character strings di- rectly. A Japanese
morphological analyzer with our grammar is evaluated with EDR corpus.","['まえがき', '形態素の体系', '派生文法による動詞の語尾変化', '形態素解析システムへの適用', '問題点の検討', '性能評価', 'まとめ']",,,,,,,,
V02N04-04.tex,話者の対象認識過程に基づく日本語助詞「が」 と「は」の意味分類とパーザへの実装,Semantic Classification of Japanese Particle ``ga'' and ``ha'' based on the Viewpoint of Speaker's Recognition and its Implementation on a Paser,"本論文では,話者の対象認識過程に基づく日本語助詞「が」と「は」の
意味分類を行ない, これを一般化 LR 法に基づいて構文解析する SGLR パーザの
上に実装し, その有用性を確認した結果について述べる. 
話者の対象認識過程とは, 対象を認識し, それを言語として表現する対象を概念化し, 
対象に対する話者の見方や捉え方, 判断等を識別する過程のことをいう. 
筆者らは, 特に, 三浦文法に基づいて考案された日本語の助詞「が」と「は」, 
及び「を」と「に」についての意味規則を考案し, これを用いてその規則の
動作機構を DCG の補強項で実現し, SGLR パーザで実行できるようにしている. 
実験の結果, 意味解析と構文解析の融合に成功し, 構文的曖昧性を意味分類により, 
著しく削減できることがわかった.","This paper proposes a semantic classification of Japanese
particle ``ga'' and ``ha'' based on the viewpoint of speaker's
recognition and its implementation on SGLR \hspace*{0.4mm","['まえがき', '言語の過程的構造', '助詞「が」と「は」の意味分析', '助詞「が」「は」のコア概念', '助詞の意味分類', 'パーザの基本的枠組', '文法と辞書の試作', 'パーザへの実装', '結論']",,,,,,,,
V03N01-01.tex,英語名詞の多義性解消における文脈としての場面情報の評価,Evaluation of Scene Information as Context for English Noun Disambiguation,"本論文では，意味解析を主とする自然言語処理システムにおける語
の意味の曖昧性解消の処理の効率化を場面に基づく文脈情報を利用
して実現する方法を提案する．現在における文脈依存の意味処理で
は文脈の定義方法と知識の獲得方法が問題とされる．また実装時に
は意味選択の組合せ爆発による計算量の大きさが問題となる．文脈
情報により一部の語に対してでも語義の優先順位づけが有意に行な
われれば，共起関係などを用いて他の語の多義性や構文解析の解空
間を早く絞り込むことができる．本論文では，談話内の言語外知識
である場面情報を空間的連想による文脈情報と位置付け，画像理解
による知識獲得の近似として視覚辞書を利用し，実際の物語文を対
象にし評価した結果を示す．場面に関連する各英語名詞に対し独立
に平均 1.5 倍以上の処理速度向上が得られている．また多義性解
消率は全く情報がない場合の 51 \% に比べ本手法では 83 \% まで
上昇する．あわせて場面情報の知識表現の違いによる効果の違いに
ついての考察，手法の限界点，およびシステムに加えて必要とされ
る場面解析機構についての考察を述べる．","We propose an efficient method to disambiguate English nouns
using scene information as context. Recent research directions
into context dependent analysis point out the difficulty of 
defining context and acquiring knowledge. Another problem is 
the efficiency of resolving semantic constraints. To resolve 
these problems, we use knowledge from a pictorial dictionary
available on the market. It provides spatial-scene information
as extra-lingual knowledge required for discourse analysis.
One of its targets is to disambiguate words. We compared our 
method with random search approach on a narrative story. The 
experimental analysis supports that the word-disambiguating 
speed with our method is over 1.5 times faster than that with
the random search. Also it indicates that the disambiguating 
rate with our method is 83 \%, higher than that with the random 
search (51 \%). We discuss the importance of the representational
type for the scene information, evaluate our method's limits, 
and argue future technologies required to analyze the spatial-scene.","['まえがき', '文脈としての場面情報の構築', '文脈としての場面情報を利用した多義語の優先順位づけ', '実験と評価', '考察', '今後の課題', 'むすび']",,,,,,,,
